,question,doc_id,course
36,Will homeworks be available after the course?,d53aee64bb,data-engineering-zoomcamp
37,Can I work on my capstone project anytime?,d53aee64bb,data-engineering-zoomcamp
38,Is the course content permanent?,d53aee64bb,data-engineering-zoomcamp
39,Can I prepare for the next cohort later?,d53aee64bb,data-engineering-zoomcamp
40,Is the slack channel available for self-paced courses?,3123ba181f,data-engineering-zoomcamp
41,How can I get support in self-paced mode?,3123ba181f,data-engineering-zoomcamp
42,Can I ask questions in the FAQ?,3123ba181f,data-engineering-zoomcamp
43,What if my question isn’t answered in the channel?,3123ba181f,data-engineering-zoomcamp
44,Who do I tag for help in Slack?,3123ba181f,data-engineering-zoomcamp
45,Where is the main YouTube playlist?,b773d2cd70,data-engineering-zoomcamp
46,Is there a year-specific playlist?,b773d2cd70,data-engineering-zoomcamp
47,Where can I find office hours videos?,b773d2cd70,data-engineering-zoomcamp
48,What is the link to the main playlist?,b773d2cd70,data-engineering-zoomcamp
49,Is the playlist pinned on Slack?,b773d2cd70,data-engineering-zoomcamp
50,How many hours for this course?,1b66c51db2,data-engineering-zoomcamp
51,What time commitment is expected?,1b66c51db2,data-engineering-zoomcamp
52,Is there a recommended study time per week?,1b66c51db2,data-engineering-zoomcamp
53,How much should I study weekly?,1b66c51db2,data-engineering-zoomcamp
54,What’s the expected study hours?,1b66c51db2,data-engineering-zoomcamp
55,Can I get a certificate for self-paced courses?,7d97f68c7a,data-engineering-zoomcamp
56,Is peer review required for certification?,7d97f68c7a,data-engineering-zoomcamp
57,When can I peer-review projects?,7d97f68c7a,data-engineering-zoomcamp
58,Do all courses offer live cohorts?,7d97f68c7a,data-engineering-zoomcamp
59,What happens if I take the course self-paced?,7d97f68c7a,data-engineering-zoomcamp
60,Where is the office hour link?,33511d6860,data-engineering-zoomcamp
61,How do I submit questions during the workshop?,33511d6860,data-engineering-zoomcamp
62,When will the Zoom link be posted?,33511d6860,data-engineering-zoomcamp
63,Can I ask questions in the chat?,33511d6860,data-engineering-zoomcamp
64,Where to find the YouTube link?,33511d6860,data-engineering-zoomcamp
65,Will workshops be recorded?,192b74cdab,data-engineering-zoomcamp
66,How long after are sessions available?,192b74cdab,data-engineering-zoomcamp
67,Can I rewatch office hours?,192b74cdab,data-engineering-zoomcamp
68,Are all sessions recorded?,192b74cdab,data-engineering-zoomcamp
69,What if I miss a workshop?,192b74cdab,data-engineering-zoomcamp
70,What are the homework deadlines?,2c225effe0,data-engineering-zoomcamp
71,Where can I find project deadlines?,2c225effe0,data-engineering-zoomcamp
72,Any extensions announced?,2c225effe0,data-engineering-zoomcamp
73,Link for deadlines?,2c225effe0,data-engineering-zoomcamp
74,Who updates the deadlines?,2c225effe0,data-engineering-zoomcamp
75,Can I submit homework late?,33dfde1124,data-engineering-zoomcamp
76,What if I miss the deadline?,33dfde1124,data-engineering-zoomcamp
77,Is there a grace period for homework?,33dfde1124,data-engineering-zoomcamp
78,How do I confirm my submission?,33dfde1124,data-engineering-zoomcamp
79,When is the homework due?,33dfde1124,data-engineering-zoomcamp
80,What is the homework link?,3dc5a7599b,data-engineering-zoomcamp
81,Where is my code repository?,3dc5a7599b,data-engineering-zoomcamp
82,Is GitHub a valid option?,3dc5a7599b,data-engineering-zoomcamp
83,What should I include in my homework?,3dc5a7599b,data-engineering-zoomcamp
84,What does a reasonable person expect?,3dc5a7599b,data-engineering-zoomcamp
85,How are homework points calculated?,be095ec900,data-engineering-zoomcamp
86,Where can I see my total points?,be095ec900,data-engineering-zoomcamp
87,What points do I earn for FAQs?,be095ec900,data-engineering-zoomcamp
88,Do learning in public links earn points?,be095ec900,data-engineering-zoomcamp
89,How is the leaderboard updated?,be095ec900,data-engineering-zoomcamp
90,How do I check my leaderboard position?,e76b9dd574,data-engineering-zoomcamp
91,What is my display name?,e76b9dd574,data-engineering-zoomcamp
92,Can I change my display name?,e76b9dd574,data-engineering-zoomcamp
93,Where can I find the Homework submission link?,e76b9dd574,data-engineering-zoomcamp
94,Why am I not on the leaderboard?,e76b9dd574,data-engineering-zoomcamp
95,Is Python 3.9 still recommended in 2024?,861fe5d92d,data-engineering-zoomcamp
96,What version of Python is stable in 2024?,861fe5d92d,data-engineering-zoomcamp
97,Are Python 3.10 and 3.11 good to use?,861fe5d92d,data-engineering-zoomcamp
98,What Python version should I troubleshoot with?,861fe5d92d,data-engineering-zoomcamp
99,Is there a preferred Python version for 2024?,861fe5d92d,data-engineering-zoomcamp
100,Local machine setup issues?,d7d16eec3b,data-engineering-zoomcamp
101,GCP vs local machine?,d7d16eec3b,data-engineering-zoomcamp
102,GitHub Codespaces advantages?,d7d16eec3b,data-engineering-zoomcamp
103,Docker introduction week 1?,d7d16eec3b,data-engineering-zoomcamp
104,Best way to work remotely?,d7d16eec3b,data-engineering-zoomcamp
105,Can I use GitHub Codespaces for Docker?,e95875b096,data-engineering-zoomcamp
106,Is GitHub Codespaces compatible with Git?,e95875b096,data-engineering-zoomcamp
107,Does GitHub Codespaces have Python?,e95875b096,data-engineering-zoomcamp
108,What tools are pre-installed in Codespaces?,e95875b096,data-engineering-zoomcamp
109,Can I open a GitHub repo in Codespaces?,e95875b096,data-engineering-zoomcamp
110,Can I use my laptop instead of Codespaces?,d6d7c71f14,data-engineering-zoomcamp
111,Is GitHub Codespaces mandatory?,d6d7c71f14,data-engineering-zoomcamp
112,What options do I have for the course?,d6d7c71f14,data-engineering-zoomcamp
113,Are local installations allowed?,d6d7c71f14,data-engineering-zoomcamp
114,Can I choose a different environment?,d6d7c71f14,data-engineering-zoomcamp
115,Do I need GitHub Codespaces?,4b0309cddd,data-engineering-zoomcamp
116,Is learning BigQuery necessary?,4b0309cddd,data-engineering-zoomcamp
117,Can I use a local environment?,4b0309cddd,data-engineering-zoomcamp
118,Which approach is better?,4b0309cddd,data-engineering-zoomcamp
119,What’s the best option for my project?,4b0309cddd,data-engineering-zoomcamp
120,How to open Run command?,5d9386c1c7,data-engineering-zoomcamp
121,How to access Registry Editor?,5d9386c1c7,data-engineering-zoomcamp
122,What registry value to change?,5d9386c1c7,data-engineering-zoomcamp
123,Where is known_hosts file located?,5d9386c1c7,data-engineering-zoomcamp
124,How to delete fingerprint in known_hosts?,5d9386c1c7,data-engineering-zoomcamp
125,Why choose GCP?,f25da9a3f3,data-engineering-zoomcamp
126,Can I use AWS instead?,f25da9a3f3,data-engineering-zoomcamp
127,Is GCP free for new users?,f25da9a3f3,data-engineering-zoomcamp
128,What is BigQuery?,f25da9a3f3,data-engineering-zoomcamp
129,Do I need a credit card for GCP?,f25da9a3f3,data-engineering-zoomcamp
130,Is GCP free?,efaad63179,data-engineering-zoomcamp
131,What about other cloud services?,efaad63179,data-engineering-zoomcamp
132,Can I use GCP without payment?,efaad63179,data-engineering-zoomcamp
133,Is the free trial enough?,efaad63179,data-engineering-zoomcamp
134,How long is the GCP free trial?,efaad63179,data-engineering-zoomcamp
135,Do I need GCP for the course?,f0c0715861,data-engineering-zoomcamp
136,Can I run the course materials locally?,f0c0715861,data-engineering-zoomcamp
137,Is BigQuery the only cloud dependency?,f0c0715861,data-engineering-zoomcamp
138,Are there alternatives for all course tasks?,f0c0715861,data-engineering-zoomcamp
139,Can I complete the course without internet?,f0c0715861,data-engineering-zoomcamp
140,Can I use AWS for my project?,00dbab9cef,data-engineering-zoomcamp
141,What should I adapt for AWS?,00dbab9cef,data-engineering-zoomcamp
142,Will my capstone include a data pipeline?,00dbab9cef,data-engineering-zoomcamp
143,How can I get help with AWS?,00dbab9cef,data-engineering-zoomcamp
144,Is there a comparison with GCP?,00dbab9cef,data-engineering-zoomcamp
145,When will the Capstone calls be?,3b523c434e,data-engineering-zoomcamp
146,How many Zoom calls will there be?,3b523c434e,data-engineering-zoomcamp
147,What topics will be covered in the calls?,3b523c434e,data-engineering-zoomcamp
148,Will the calls be recorded?,3b523c434e,data-engineering-zoomcamp
149,Can we ask questions during the calls?,3b523c434e,data-engineering-zoomcamp
150,Will we use last year's project data?,da2a90cd93,data-engineering-zoomcamp
151,Is the 2022 data relevant?,da2a90cd93,data-engineering-zoomcamp
152,Where can I find the NYC Trip data?,da2a90cd93,data-engineering-zoomcamp
153,Are we sticking to January 2021 data?,da2a90cd93,data-engineering-zoomcamp
154,What data will we use for the project?,da2a90cd93,data-engineering-zoomcamp
155,Is 2022 repo still available?,b437538b72,data-engineering-zoomcamp
156,Where is the 2022 material?,b437538b72,data-engineering-zoomcamp
157,Can I access 2022 files?,b437538b72,data-engineering-zoomcamp
158,What happened to the 2022 repo?,b437538b72,data-engineering-zoomcamp
159,Is 2022 content archived?,b437538b72,data-engineering-zoomcamp
160,Can I use Docker?,c18db3e777,data-engineering-zoomcamp
161,Is Python required?,c18db3e777,data-engineering-zoomcamp
162,Can I work in a group?,c18db3e777,data-engineering-zoomcamp
163,Is there a project deadline?,c18db3e777,data-engineering-zoomcamp
164,Can I choose any topic?,c18db3e777,data-engineering-zoomcamp
165,Can I use Airflow instead of Mage?,674fa5d2af,data-engineering-zoomcamp
166,Is AWS allowed instead of GCP?,674fa5d2af,data-engineering-zoomcamp
167,Can I choose Tableau over Metabase?,674fa5d2af,data-engineering-zoomcamp
168,What if I use my own tool?,674fa5d2af,data-engineering-zoomcamp
169,Will using a different stack affect support?,674fa5d2af,data-engineering-zoomcamp
170,How to contribute?,6abeedf042,data-engineering-zoomcamp
171,What is a PR?,6abeedf042,data-engineering-zoomcamp
172,Can I share the repo?,6abeedf042,data-engineering-zoomcamp
173,How to star the repo?,6abeedf042,data-engineering-zoomcamp
174,Any improvement suggestions?,6abeedf042,data-engineering-zoomcamp
175,Is Linux the best OS for the course?,bf7ea07868,data-engineering-zoomcamp
176,Can I use Windows?,bf7ea07868,data-engineering-zoomcamp
177,Is macOS supported?,bf7ea07868,data-engineering-zoomcamp
178,What OS do most students use?,bf7ea07868,data-engineering-zoomcamp
179,Are all OSes equally effective?,bf7ea07868,data-engineering-zoomcamp
180,How do Windows users run *.sh files?,72028cd76b,data-engineering-zoomcamp
181,What if I can’t use WSL?,72028cd76b,data-engineering-zoomcamp
182,Are there alternatives to WSL?,72028cd76b,data-engineering-zoomcamp
183,What is WSL setup?,72028cd76b,data-engineering-zoomcamp
184,Why are shell scripts a problem for Windows users?,72028cd76b,data-engineering-zoomcamp
185,Any recommended books?,a76927e1d4,data-engineering-zoomcamp
186,Where can I find resources?,a76927e1d4,data-engineering-zoomcamp
187,Are there online materials?,a76927e1d4,data-engineering-zoomcamp
188,What should I read?,a76927e1d4,data-engineering-zoomcamp
189,Suggestions for study aids?,a76927e1d4,data-engineering-zoomcamp
190,What is Project Attempt #1?,1d3b23e937,data-engineering-zoomcamp
191,What is Project Attempt #2?,1d3b23e937,data-engineering-zoomcamp
192,How does the project attempt system work?,1d3b23e937,data-engineering-zoomcamp
193,What if I fail the first attempt?,1d3b23e937,data-engineering-zoomcamp
194,When is the second attempt due?,1d3b23e937,data-engineering-zoomcamp
195,How to start troubleshooting?,1eba295a96,data-engineering-zoomcamp
196,What should I do first with an error?,1eba295a96,data-engineering-zoomcamp
197,How do I search for solutions?,1eba295a96,data-engineering-zoomcamp
198,When to ask for help?,1eba295a96,data-engineering-zoomcamp
199,What info to include in my question?,1eba295a96,data-engineering-zoomcamp
200,What info should I include when asking a question?,239e9c4c37,data-engineering-zoomcamp
201,What OS are you using?,239e9c4c37,data-engineering-zoomcamp
202,What error did you encounter?,239e9c4c37,data-engineering-zoomcamp
203,What have you already tried?,239e9c4c37,data-engineering-zoomcamp
204,Which video did you follow?,239e9c4c37,data-engineering-zoomcamp
205,How to clone a repo?,e43f36ef60,data-engineering-zoomcamp
206,What is .gitignore?,e43f36ef60,data-engineering-zoomcamp
207,Where to find Git tutorials?,e43f36ef60,data-engineering-zoomcamp
208,Can I store passwords in Git?,e43f36ef60,data-engineering-zoomcamp
209,How to create my own repository?,e43f36ef60,data-engineering-zoomcamp
210,How to fix missing separator error?,340395ce5a,data-engineering-zoomcamp
211,Why are tabs used in Makefile?,340395ce5a,data-engineering-zoomcamp
212,Can I use spaces in Makefile?,340395ce5a,data-engineering-zoomcamp
213,What does VS Code need for tabs?,340395ce5a,data-engineering-zoomcamp
214,How to convert spaces to tabs?,340395ce5a,data-engineering-zoomcamp
215,How to open HTML in WSL?,901450e7b4,data-engineering-zoomcamp
216,What is wslview?,901450e7b4,data-engineering-zoomcamp
217,Can I use Firefox from WSL?,901450e7b4,data-engineering-zoomcamp
218,How to set the browser in WSL?,901450e7b4,data-engineering-zoomcamp
219,Is wslu required for HTML files?,901450e7b4,data-engineering-zoomcamp
220,How to set up Chrome Remote Desktop?,d507a3d5a0,data-engineering-zoomcamp
221,What to do if I get a 403 error?,d507a3d5a0,data-engineering-zoomcamp
222,Where to find the backup Taxi Data?,d507a3d5a0,data-engineering-zoomcamp
223,How to unzip a .gz file?,d507a3d5a0,data-engineering-zoomcamp
224,Is Chrome Remote Desktop available for Linux?,d507a3d5a0,data-engineering-zoomcamp
225,How to read csv.gz files?,521bd09de8,data-engineering-zoomcamp
226,What is the correct file name format?,521bd09de8,data-engineering-zoomcamp
227,Can pandas handle csv.gz files?,521bd09de8,data-engineering-zoomcamp
228,How to extract file name from URL?,521bd09de8,data-engineering-zoomcamp
229,What should csv_name be set to?,521bd09de8,data-engineering-zoomcamp
230,What is a data dictionary?,59cc4e6f7c,data-engineering-zoomcamp
231,Where can I find Yellow Taxi data?,59cc4e6f7c,data-engineering-zoomcamp
232,Where can I find Green Taxi data?,59cc4e6f7c,data-engineering-zoomcamp
233,What type of trips are yellow?,59cc4e6f7c,data-engineering-zoomcamp
234,What type of trips are green?,59cc4e6f7c,data-engineering-zoomcamp
235,How to unzip a parquet file?,e13c2b17c2,data-engineering-zoomcamp
236,What does gunzip do?,e13c2b17c2,data-engineering-zoomcamp
237,How to use pandas with csv?,e13c2b17c2,data-engineering-zoomcamp
238,How to download parquet files in Python?,e13c2b17c2,data-engineering-zoomcamp
239,How to convert parquet to csv?,e13c2b17c2,data-engineering-zoomcamp
240,How to install wget on Ubuntu?,7d3abdcc37,data-engineering-zoomcamp
241,What is wget used for?,7d3abdcc37,data-engineering-zoomcamp
242,Can I use wget on Windows?,7d3abdcc37,data-engineering-zoomcamp
243,How to fix wget not recognized error?,7d3abdcc37,data-engineering-zoomcamp
244,Is there a wget alternative in Python?,7d3abdcc37,data-engineering-zoomcamp
245,How to use wget in Jupyter?,141b6844a3,data-engineering-zoomcamp
246,Why is wget failing on MacOS?,141b6844a3,data-engineering-zoomcamp
247,What does --no-check-certificate do?,141b6844a3,data-engineering-zoomcamp
248,How to verify website certificate errors?,141b6844a3,data-engineering-zoomcamp
249,Is there a Python alternative to wget?,141b6844a3,data-engineering-zoomcamp
250,How to use backslash in Git Bash?,bd81c1ac88,data-engineering-zoomcamp
251,What is backslash escape in Git Bash?,bd81c1ac88,data-engineering-zoomcamp
252,Can I set escape character in Git Bash?,bd81c1ac88,data-engineering-zoomcamp
253,How to configure Git Bash escape character?,bd81c1ac88,data-engineering-zoomcamp
254,What command for backslash in Git Bash?,bd81c1ac88,data-engineering-zoomcamp
255,How to store secrets in Codespaces?,9c17b24229,data-engineering-zoomcamp
256,Where can I find secrets management info?,9c17b24229,data-engineering-zoomcamp
257,What are account-specific secrets?,9c17b24229,data-engineering-zoomcamp
258,Is there a guide for Codespaces secrets?,9c17b24229,data-engineering-zoomcamp
259,How do GitHub Docs describe secret storage?,9c17b24229,data-engineering-zoomcamp
260,How to start the Docker daemon?,f6fbb40d59,data-engineering-zoomcamp
261,"What does ""Cannot connect to Docker daemon"" mean?",f6fbb40d59,data-engineering-zoomcamp
262,How to update WSL in PowerShell?,f6fbb40d59,data-engineering-zoomcamp
263,Where is the Docker socket located?,f6fbb40d59,data-engineering-zoomcamp
264,Why is the Docker daemon not running?,f6fbb40d59,data-engineering-zoomcamp
265,How to enable Hyper-V on Windows?,adedbc0acc,data-engineering-zoomcamp
266,Can I use Docker on Windows Home?,adedbc0acc,data-engineering-zoomcamp
267,What is WSL2 for Docker?,adedbc0acc,data-engineering-zoomcamp
268,How to fix WslRegisterDistribution error?,adedbc0acc,data-engineering-zoomcamp
269,Which backend does Docker use on Windows?,adedbc0acc,data-engineering-zoomcamp
270,What is `docker pull`?,d518c6376a,data-engineering-zoomcamp
271,Why do I need Docker login?,d518c6376a,data-engineering-zoomcamp
272,How to fix image name typo?,d518c6376a,data-engineering-zoomcamp
273,What if access is denied?,d518c6376a,data-engineering-zoomcamp
274,Why use Docker Desktop instead of Rancher?,d518c6376a,data-engineering-zoomcamp
275,How to delete a mounted Docker volume?,69cc156263,data-engineering-zoomcamp
276,Why is the folder owned by user 999?,69cc156263,data-engineering-zoomcamp
277,What command removes a folder in Docker?,69cc156263,data-engineering-zoomcamp
278,How to change folder permissions in Docker?,69cc156263,data-engineering-zoomcamp
279,Why can’t I delete the local folder?,69cc156263,data-engineering-zoomcamp
280,How to fix Docker not starting?,4969c6a292,data-engineering-zoomcamp
281,What to do if Docker is stuck?,4969c6a292,data-engineering-zoomcamp
282,How to upgrade Docker on Windows?,4969c6a292,data-engineering-zoomcamp
283,Can I use Hyper-V for Docker?,4969c6a292,data-engineering-zoomcamp
284,How to enable WSL2 for Docker?,4969c6a292,data-engineering-zoomcamp
285,Where should I run Docker commands?,7cfee8f50c,data-engineering-zoomcamp
286,Is WSL2 necessary for Docker on Windows?,7cfee8f50c,data-engineering-zoomcamp
287,What to do if Docker is stuck?,7cfee8f50c,data-engineering-zoomcamp
288,How to reset Docker to factory defaults?,7cfee8f50c,data-engineering-zoomcamp
289,Is a fresh install of Docker recommended?,7cfee8f50c,data-engineering-zoomcamp
290,What is Docker best for?,88bd24c0ce,data-engineering-zoomcamp
291,How does WSL2 relate to Docker?,88bd24c0ce,data-engineering-zoomcamp
292,Where can I find Docker best practices?,88bd24c0ce,data-engineering-zoomcamp
293,Is file system performance important for Docker?,88bd24c0ce,data-engineering-zoomcamp
294,How to optimize Docker on Windows?,88bd24c0ce,data-engineering-zoomcamp
295,What is TTY in Docker?,a3eed60b79,data-engineering-zoomcamp
296,How to fix Docker TTY error?,a3eed60b79,data-engineering-zoomcamp
297,What is winpty?,a3eed60b79,data-engineering-zoomcamp
298,How to create a Docker alias?,a3eed60b79,data-engineering-zoomcamp
299,Why do I need winpty for Docker?,a3eed60b79,data-engineering-zoomcamp
300,How to fix pip install error in Docker?,843c0552fe,data-engineering-zoomcamp
301,"What does ""Temporary failure in name resolution"" mean?",843c0552fe,data-engineering-zoomcamp
302,How to set DNS in Docker on Windows?,843c0552fe,data-engineering-zoomcamp
303,Why is my Docker container unable to connect to the internet?,843c0552fe,data-engineering-zoomcamp
304,What is the command to run Python in Docker with DNS?,843c0552fe,data-engineering-zoomcamp
305,How to fix empty ny_taxi_postgres_data?,98ef14bcd3,data-engineering-zoomcamp
306,What is the correct path for volume mapping?,98ef14bcd3,data-engineering-zoomcamp
307,How to view files in VS Code?,98ef14bcd3,data-engineering-zoomcamp
308,Which Docker command should I use?,98ef14bcd3,data-engineering-zoomcamp
309,What does the -v parameter do?,98ef14bcd3,data-engineering-zoomcamp
310,How to set up Docker on Mac?,9eff5d7480,data-engineering-zoomcamp
311,Is the article on Docker for Mac up to date?,9eff5d7480,data-engineering-zoomcamp
312,What’s the best way to install Docker now?,9eff5d7480,data-engineering-zoomcamp
313,Where can I download Docker for Mac?,9eff5d7480,data-engineering-zoomcamp
314,Has Docker’s licensing changed recently?,9eff5d7480,data-engineering-zoomcamp
315,"How to fix ""Operation not permitted"" in Docker?",b852e41e52,data-engineering-zoomcamp
316,What is a local Docker volume?,b852e41e52,data-engineering-zoomcamp
317,How to create a PostgreSQL database with Docker?,b852e41e52,data-engineering-zoomcamp
318,"Why is ""/var/lib/postgresql/data"" not empty?",b852e41e52,data-engineering-zoomcamp
319,How to verify Docker volumes in Docker Desktop?,b852e41e52,data-engineering-zoomcamp
320,How to fix Docker volume mapping errors on Windows?,8cfb88835b,data-engineering-zoomcamp
321,"What does ""invalid reference format"" mean in Docker?",8cfb88835b,data-engineering-zoomcamp
322,Can I use spaces in Docker volume paths on Windows?,8cfb88835b,data-engineering-zoomcamp
323,What are the correct commands for volume mapping in Docker?,8cfb88835b,data-engineering-zoomcamp
324,How to use quotes for Docker commands on Windows?,8cfb88835b,data-engineering-zoomcamp
325,What is the Docker error for invalid mode?,fe1cc7a5f5,data-engineering-zoomcamp
326,How do I fix the mounting path in Docker?,fe1cc7a5f5,data-engineering-zoomcamp
327,What format should the Docker volume path take?,fe1cc7a5f5,data-engineering-zoomcamp
328,Can I use drive letters in Docker volume paths?,fe1cc7a5f5,data-engineering-zoomcamp
329,"What does ""leading slash"" mean in Docker paths?",fe1cc7a5f5,data-engineering-zoomcamp
330,What causes the Docker error with buildmount?,71aa6f3a5f,data-engineering-zoomcamp
331,How can I avoid the error on the second run?,71aa6f3a5f,data-engineering-zoomcamp
332,What should I change in the command for the second run?,71aa6f3a5f,data-engineering-zoomcamp
333,Is the path important in the Docker command?,71aa6f3a5f,data-engineering-zoomcamp
334,What does the error message indicate?,71aa6f3a5f,data-engineering-zoomcamp
335,What is the Docker build error related to ny_taxi_postgres_data?,b5141f2c52,data-engineering-zoomcamp
336,How can I fix permission issues in Docker builds?,b5141f2c52,data-engineering-zoomcamp
337,Why does Docker need only Dockerfile and ingest_data.py?,b5141f2c52,data-engineering-zoomcamp
338,How to change directory permissions on Ubuntu?,b5141f2c52,data-engineering-zoomcamp
339,Where can I find more info on Docker build errors?,b5141f2c52,data-engineering-zoomcamp
340,How to fix Docker context canceled error?,e749d2c74b,data-engineering-zoomcamp
341,What does snap status docker do?,e749d2c74b,data-engineering-zoomcamp
342,What if snap status command fails?,e749d2c74b,data-engineering-zoomcamp
343,How to reinstall Docker correctly?,e749d2c74b,data-engineering-zoomcamp
344,Why is port 5432 bind failing?,e749d2c74b,data-engineering-zoomcamp
345,What is the Docker build error related to context?,a3771b3561,data-engineering-zoomcamp
346,How do I fix folder permission issues in Docker?,a3771b3561,data-engineering-zoomcamp
347,Why is my folder appearing empty in PopOS?,a3771b3561,data-engineering-zoomcamp
348,What command changes folder permissions in Linux?,a3771b3561,data-engineering-zoomcamp
349,What does chmod 777 do?,a3771b3561,data-engineering-zoomcamp
350,What causes the permission denied error?,ccf4b248f0,data-engineering-zoomcamp
351,How do I fix permission issues in Docker?,ccf4b248f0,data-engineering-zoomcamp
352,What command grants permissions to a folder?,ccf4b248f0,data-engineering-zoomcamp
353,What does chmod 755 do?,ccf4b248f0,data-engineering-zoomcamp
354,Why use chmod 777 instead of 755?,ccf4b248f0,data-engineering-zoomcamp
355,How to list Docker networks?,016a12824b,data-engineering-zoomcamp
356,What command for network names?,016a12824b,data-engineering-zoomcamp
357,Get Docker network name?,016a12824b,data-engineering-zoomcamp
358,Docker network list command?,016a12824b,data-engineering-zoomcamp
359,How to view Docker networks?,016a12824b,data-engineering-zoomcamp
360,How to fix container name conflict in Docker?,6e5e14045d,data-engineering-zoomcamp
361,What command to stop a running Docker container?,6e5e14045d,data-engineering-zoomcamp
362,How to remove a Docker container?,6e5e14045d,data-engineering-zoomcamp
363,Can I restart a Docker image without removing it?,6e5e14045d,data-engineering-zoomcamp
364,What to do if container name is already in use?,6e5e14045d,data-engineering-zoomcamp
365,What causes the host name translation error in Docker?,ec4f594c9f,data-engineering-zoomcamp
366,How do I identify the network created by docker-compose?,ec4f594c9f,data-engineering-zoomcamp
367,What should I replace pg-network with?,ec4f594c9f,data-engineering-zoomcamp
368,How can I find the correct database name in Docker?,ec4f594c9f,data-engineering-zoomcamp
369,What is the solution for sqlalchemy.exc.OperationalError?,ec4f594c9f,data-engineering-zoomcamp
370,How to enable nested virtualization on Intel?,8cba5602ba,data-engineering-zoomcamp
371,How to enable nested virtualization on AMD?,8cba5602ba,data-engineering-zoomcamp
372,What command to run before starting my VM?,8cba5602ba,data-engineering-zoomcamp
373,Why can’t I install Docker on Windows 11 VM?,8cba5602ba,data-engineering-zoomcamp
374,What is nested virtualization?,8cba5602ba,data-engineering-zoomcamp
375,How do I connect Docker to VS Code?,71161f68bf,data-engineering-zoomcamp
376,What does the Docker extension do in VS Code?,71161f68bf,data-engineering-zoomcamp
377,Can VS Code connect to Docker on WSL2?,71161f68bf,data-engineering-zoomcamp
378,How do I stop a Docker container?,71161f68bf,data-engineering-zoomcamp
379,What command stops a Docker container?,71161f68bf,data-engineering-zoomcamp
380,What does this log message mean?,eb81822b23,data-engineering-zoomcamp
381,Why is PostgreSQL not accepting requests?,eb81822b23,data-engineering-zoomcamp
382,How to fix the connection failed error?,eb81822b23,data-engineering-zoomcamp
383,What to do with the data directory?,eb81822b23,data-engineering-zoomcamp
384,Why did the server terminate abnormally?,eb81822b23,data-engineering-zoomcamp
385,How to install Docker on Ubuntu?,2f3e527584,data-engineering-zoomcamp
386,Can I use snap to install Docker?,2f3e527584,data-engineering-zoomcamp
387,What is snap command?,2f3e527584,data-engineering-zoomcamp
388,Is Docker compatible with all Ubuntu versions?,2f3e527584,data-engineering-zoomcamp
389,What command installs Docker via snap?,2f3e527584,data-engineering-zoomcamp
390,What is the mounting error in Docker-Compose?,59a95388de,data-engineering-zoomcamp
391,How to define a named volume in Docker-Compose?,59a95388de,data-engineering-zoomcamp
